;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Дата отчета: 13.02.2026 0:00:00;;;;;
;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;;;;
;;;;
3483 Игрушка м/н Дракон Эштон в дубленке и шлеме.25 см.серый/синий Китай 3483 Дракон Эштон в дубленк, шт;;;;;1,000;;1 680,00
"58472 Детский бассейн 244х46см ""Коралловый риф"" 2040л, от 3 лет, шт";;;;;1,000;;3 500,00
"58825 Надувной круг-кресло 135см ""River Run 1"" с ручками, до 100кг, шт";;;;;1,000;;3 400,00
761539 Цветы КИТАЙ 761539 Цветы (2002403), шт;;;;;1,000;;300,00
761542 Цветы КИТАЙ 761542 Цветы (2002406), шт;;;;;1,000;;300,00
"788-976 Подв.украшение ""Кристалл"" (красный)(36) Грин Кантри 788-976 (1004501), шт";;;;;1,000;125,40;640,00
"788-982 Подв.украшение ""Кристалл""(красный)(36) Грин Кантри 788-982 (1004498), шт";;;;;2,000;;1 280,00
L006/G, Набор ёлочных шаров 10 см 4 шт. 24 шт./кор. обманки золото, шт;;;;;1,000;;520,00
SA32 Украшение для елки Садовод SA32 Украшение для елки (1003601), шт;;;;;1,000;45,00;540,00
SY19P-8003/LG, Набор ёлочных шаров 8 см 3 шт. 96 шт./кор стразы с жемчугом золотой, шт;;;;;4,000;;1 000,00
Автомат с пульками (орбиз) 3620, шт;;;;;1,000;500,00;1 680,00
Автосалфетка в тубе большая(43х64), шт;;;;;1,000;85,00;220,00
Автосалфетка синтетич.замша в тубе . (43х32), шт;;;;;4,000;180,00;600,00
Аква-нудл  150*6см 05362, шт;;;;;2,000;;680,00
Аккумулятор холода АХ-10, шт;;;;;5,000;572,00;1 100,00
Аккумулятор холода мягкий 200 мл  00041Д, шт;;;;;4,000;;1 040,00
Ангел 01666 5, шт;;;;;61,000;;
Анти-фог  20 мл сухой (06145) (06953Д), шт;;;;;1,000;;170,00
