;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
500MT Комплект струн для классической гитары, посеребренная медь, среднее натяжение, Hannabach, шт;;;;;3,000;1 632,00;2 940,00
514P1.3 Primetone Медиатор  1,3мм, скругленные, Dunlop, шт;;;;;2,000;203,34;540,00
651J Formula 65 Средство для очистки/полироль для гитары, Dunlop, шт;;;;;2,000;630,00;1 060,00
701-BAG Кожаный чехол д губной гармошки, Seydel Sohne                                               ¶, шт;;;;;2,000;254,00;500,00
8012P Медиаторы, войлок, 3шт, Dunlop, шт;;;;;1,000;419,00;690,00
"840 Folksinger Комплект струн для классической гитары с наконечником ""шарик"". Верхние струны - чисты, шт";;;;;1,000;851,00;1 530,00
9-1m Кабель инструментальный, 1м,стерео  Yerasov, шт;;;;;3,000;1 170,00;2 040,00
9011 Rockers Комплект струн для электрогитары, никелированные, 11-48, Everly, шт;;;;;2,000;916,20;1 700,00
A001 Камертон духовой на 6 нот Alice    , шт;;;;;1,000;107,00;190,00
A003AP Камертон духовой хроматич. 13 нот (PC-C)  Alice  , шт;;;;;1,000;149,00;300,00
A004E Камертон духовой металлический на ноту МИ. [100] Alice, шт;;;;;1,000;34,00;60,00
A007D/WH-A Каподастр для акустической гитары, белый, Alice, шт;;;;;4,000;924,00;1 720,00
A007E-C Каподастр для классической гитары, пластиковый Alice, шт;;;;;1,000;59,00;150,00
A007F-A Каподастр для акустической гитары, металлический на винте, в блистере Alice, шт;;;;;3,000;240,00;600,00
A007H/BR Каподастр для акустической гитары, череп, бронза, Alice, шт;;;;;1,000;458,00;1 170,00
A007K/SL Каподастр для акустической гитары, хром, Alice, шт;;;;;2,000;370,80;640,00
A007M/BK Каподастр для акустической гитары, черный, Alice, шт;;;;;1,000;169,00;290,00
A008-A Каподастр эластичный для акустической гитары Alice, шт;;;;;1,000;58,59;150,00
A008-C Каподастр эластичный для классической гитары Alice, шт;;;;;2,000;117,18;300,00
A009 Машинка для намотки струн малая пластиковая. Alice, шт;;;;;10,000;410,00;700,00
A009DP Головка для намотки струн мультифункц для акустических, электро- и бас-гитар, голов, шт;;;;;1,000;80,00;230,00
A013-1 Канифоль для скрипки в круглой пластиковой коробочке [20] Alice, шт;;;;;4,000;108,00;200,00
A021BK/2PVC Фиксатор струн черный с белой точкой 2мм. PVC. Alice, шт;;;;;20,000;120,00;400,00
A021IVY/2PVC Фиксатор струн цвета слоновой кости с черной точкой 2мм. PVC., шт;;;;;26,000;130,00;390,00
A024MTL-A Крепление ремня, никелированное, с винтом и прокладкой, Alice, шт;;;;;5,000;180,00;350,00
A025G Защитная накладка капля на верхнюю деку пластиковая, черная, для леворукой гитары Alice, шт;;;;;1,000;16,10;50,00
A026A Порожек верхний для акустической гитары 42х6х8,88-7,9 Alice   , шт;;;;;16,000;80,00;320,00
A026B Порожек верхний для акустической гитары, 43х6х7,9-8,88 Alice, шт;;;;;3,000;15,00;60,00
A026C Порожек нижний для акустической гитары из высококачественной пластмассы, цвет - слоновая кость, шт;;;;;19,000;95,00;380,00
A026F Порожек верхний для акустической гитары, пластик Размеры: 43 х 6 х 8,3-7,4 Alice, шт;;;;;12,000;27,00;240,00
A026G Порожек нижний для акустической гитары 74х3х7,4-6мм, Alice, шт;;;;;10,000;50,00;200,00
A027A Порожек верхний для классической гитары из высококачественной пластмассы, цвет - слоновая кост, шт;;;;;14,000;52,50;280,00
A027FH Порожек нижний для классической гитары . 80х3х11,3-9,3мм, шт;;;;;10,000;50,00;200,00
A032A Порожек верхний для 12-струнной акустической гитары, шт;;;;;9,000;45,00;180,00
A039PO-B Полироль для гитары 100мл., в комплекте салфетка и маш. д\ намотки струн. , шт;;;;;2,000;546,00;940,00
A039PO-S Полироль для гитары 50мл., в комплекте полировочная салфетка и машинка для намотки струн . , шт;;;;;1,000;139,00;240,00
A041SE Маракас-яйцо 2шт в блистерной упаковке. Различные цвета. Alice, шт;;;;;1,000;186,00;300,00
A044 Полироль для ладов и колковой механики гитары 15мл., в комплекте полировочная салфетка . Alice, шт;;;;;2,000;246,00;460,00
"A048 Сурдина для акустической гитары 41""/42"" Alice, шт";;;;;2,000;189,00;660,00
"A048A Сурдина для классической гитары 38""/39"" Alice, шт";;;;;1,000;94,50;330,00
A106-6 Отдельная струна №6, диаметр 0.044 нейлон, шт;;;;;6,000;180,00;360,00
A206P-SL Super Light Комплект струн для акустической гитары, фосфорная бронза Alice, шт;;;;;2,000;324,00;580,00
"A306-SL-2 Струна №2 металлическая, толщина 0,014"". Alice, шт";;;;;13,000;286,00;585,00
A306-SL-4 Отдельная 4-ая струна для акустической гитары, 032, посеребр.медь, Alice, шт;;;;;13,000;481,00;910,00
A306-SL-5 Отдельная 5-ая струна для акустической гитары, 042, посеребр.медь, Alice, шт;;;;;12,000;297,00;600,00
A306-SL-6 Отдельная 6-ая струна для акустической гитары, 052, посеребр.медь, Alice, шт;;;;;13,000;351,00;650,00
A306-XL Комплект струн для акустической гитары, посеребренная медь 10. Alice, шт;;;;;9,000;1 647,00;2 970,00
A306-XL-1 Отдельная 1-ая струна для акустической гитары, 010, Alice, шт;;;;;10,000;157,50;400,00
A306-XL-3 Отдельная 3-я струна для акустической гитары, 023, Alice, шт;;;;;12,000;348,00;600,00
A4428, Шнур XLR гнездо  -  6,35mm мм моно штек 3м (Кабель Аудио Premium H114  XLR-M to 6,35-M 3000mm, шт;;;;;1,000;220,00;400,00
A506P-SL Комплект струн для электрогитары, никель, 9-42 Alice, шт;;;;;1,000;114,00;250,00
A703 Струны для скрипки. Перв струна - высокоуглер нерж сталь, остал струны - опл. из сплава никеля., шт;;;;;3,000;483,00;960,00
A706 Комплект струн для скрипки сталь/никель, Alice, шт;;;;;2,000;1 112,00;1 960,00
ABS-12AL Акустическая система активная, 150Вт, со светодиодной подсветкой. Встроенные USB+SD+MMC. Le, шт;;;;;1,000;16 274,00;24 550,00
ABS-15AL Акустическая система активная, 300Вт, со светодиодной подсветкой. Встроенные USB+SD+MMC. Le, шт;;;;;1,000;16 951,00;25 400,00
AC105BK-H Комплект струн для классической гитары ,сильное натяжение, Alice, шт;;;;;3,000;540,00;1 020,00
AC106-H-1 Отдельная струна №1, диаметр 0.028 нейлон.  [Минимальная партия 10шт.] Alice, шт;;;;;12,000;252,00;480,00
AC106-H-4 Струна №4 0.030 нейлон в оплетке из посеребренной меди. [Минимальная партия 10шт.] Alice, шт;;;;;1,000;32,00;60,00
AC106-H-5 Отдельная струна №5, диаметр 0.036 нейлон.  Alice, шт;;;;;8,000;248,00;480,00
AD-016JP Комплект колковой механики Alice   , шт;;;;;2,000;1 224,00;3 100,00
"AD-016R Правый одиночный колок ""гровер"" вертик. Уст-ки (для акуст. гитары) хром  Alice, шт";;;;;6,000;508,80;1 500,00
AD-411 Кабель акустический, 3,5мм, 10см, Fischer Audio, шт;;;;;2,000;238,00;400,00
ADSL-сплиттер, шт;;;;;2,000;260,00;440,00
AE-016L Левый одиночный колок  (акуст.), шт;;;;;1,000;142,20;240,00
"AE-016R Правый одиночный колок ""гровер""  ( акуст/ гитары) , шт";;;;;2,000;134,30;460,00
AG3B Агого тройной с креплением. DADI, шт;;;;;1,000;700,40;1 200,00
AL-015BK-R Правый одиночный колок, закрытый, черный, Alice, шт;;;;;5,000;230,00;600,00
AL-015L Левый одиночный колок вертикальной установки (для акустической гитары) хромированный с хроми, шт;;;;;5,000;520,00;900,00
AL-015P Комплект одиночной колковой механики вертикальной установки хромированный с хромированной об, шт;;;;;1,000;427,00;1 090,00
AL-015R Правый одиночный колок вертикальной установки (для акустической гитары) хромированный с хром, шт;;;;;5,000;560,00;950,00
ALMIRES C-15 OP - классическая гитара 4/4, верхняя дека - ель, корпус - красное дерево, цвет натурал, шт;;;;;1,000;9 731,00;16 500,00
AOD-014A(L) Левый одиночный колок, никель, без втулки, Alice, шт;;;;;1,000;49,00;85,00
AOD-014A(R) Правый одиночный колок, никелированный, без втулки, Alice, шт;;;;;3,000;108,00;195,00
AOD-014AT Комплект одиночной колковой механики, без втулки, шт;;;;;1,000;138,00;450,00
AOD-014CT Комплект одиночной колковой механики, со втулкой, никелированный, Alice, шт;;;;;1,000;206,00;370,00
AP-10R1 Медиаторы разноцветные, , рисунок на одной стороне, 0,71-8,81мм, Alice, шт;;;;;3,000;46,20;90,00
AP-12S Медиаторы, сталь, , толщина 0,30мм, Alice AP-100S, шт;;;;;8,000;132,80;200,00
APT-7P Тамбурин, средний, пластик, Angel, шт;;;;;1,000;267,00;470,00
APT-8P Тамбурин, большой, пластик, Angel, шт;;;;;1,000;397,00;680,00
ASRB-101 Classic Блокфлейта сопрано, барочная , Angel, шт;;;;;2,000;225,00;560,00
ASRB-251RD Color Блокфлейта сопрано, красная, барочная система, пластик, 2 части, Angel, шт;;;;;1,000;161,00;290,00
ASRG-50 Classic Блокфлейта сопрано, немецкая система, белая, 1 часть, Angel, шт;;;;;1,000;150,00;280,00
ASS-220 Кабель инструментальный 6,35мм — 3,5мм, стерео, 6.1м, Leem, шт;;;;;2,000;622,00;1 160,00
AU02 Комплект струн для укулеле. Черный нейлон. Диаметры (дюйм/мм): .022 .028 .032 .022 Упаковка - п, шт;;;;;1,000;64,00;130,00
AU04 Комплект струн для укулеле, прозрачный нейлон [20] Alice, шт;;;;;1,000;64,00;130,00
AW436P-SL Комплект струн для акустической гитары, фосфорная бронза, 11-52, Alice, шт;;;;;1,000;350,00;590,00
AWF-P (AF-5) Флейта Fife сопрано поперечная, пластик, 2 части, Angel, шт;;;;;1,000;282,00;480,00
AY1-0100 Коммутационный кабель 6,35мм 3p-2х6,35мм 2p, 1м, Klotz, шт;;;;;1,000;466,00;1 200,00
B-6900 Звукосниматель, Alice, шт;;;;;3,000;327,00;570,00
B2-108POWER Активная акустическая система, 200Вт, Biema, шт;;;;;1,000;8 561,00;13 200,00
B4-MX Микшерный пульт, 4 канала, LAudio, шт;;;;;1,000;4 577,25;7 320,00
BB103-1M Кабель микрофонный, XLRm-XLRf, 1м, Soundking, шт;;;;;1,000;275,00;490,00
BB103-2M Кабель микрофонный, XLRm-XLRf, 2м, Soundking, шт;;;;;2,000;856,00;1 460,00
BB103-3M Кабель микрофонный, XLRm-XLRf, 3 метра, Soundking, шт;;;;;1,000;326,00;630,00
BB103-5M Кабель микрофонный, XLRm-XLRf, 5м, Soundking, шт;;;;;3,000;1 239,00;2 100,00
BB103-6M Кабель микрофонный, XLRm-XLRf, 6м, Soundking, шт;;;;;3,000;1 350,00;2 370,00
BB302-3M Кабель акустический, 2х6,35мм — 2хRCA, 3м, Soundking, шт;;;;;1,000;468,00;800,00
BB314-3M Кабель акустический, 6,35мм, стерео - 2х6,35мм, моно, 3м, Soundking, шт;;;;;2,000;778,00;1 320,00
BB317-3M Кабель акустический 3.5мм стерео - 2х6.3мм моно, 3м, Soundking, шт;;;;;2,000;752,00;1 280,00
BB322-3M Кабель акустический, 3,5мм — 3,5мм, стерео, 3м, Soundking, шт;;;;;1,000;184,00;480,00
BC328-3M Кабель инструментальный, 3м, Soundking, шт;;;;;2,000;720,00;1 240,00
BC331-3M Кабель инструментальный, 3м, Soundking, шт;;;;;2,000;512,00;920,00
BD106B-10M Кабель акустический Speakon-Speakon, 10 м., Soundking, шт;;;;;1,000;1 349,00;2 250,00
BD125-4M Кабель акустический, 4м, Speakon - 6.3мм, Soundking, шт;;;;;2,000;1 356,00;2 300,00
BK002-3M Кабель CAT5e-UTP, 3 м., Soundking, шт;;;;;1,000;242,70;430,00
Bluetooh-адаптер для магнитол BT-12(PCB-05)(B01), шт;;;;;1,000;130,00;250,00
Bluetooh-адаптер для магнитол BT-X6, шт;;;;;1,000;140,00;270,00
Bluetooth USB-колонка Mivo -M20 ( Bluetooth,радио. аккумулятор), шт;;;;;1,000;1 800,00;2 990,00
Bluetooth USB-колонка Mivo -M40 ( Bluetooth, аккумулятор), шт;;;;;1,000;890,00;1 490,00
Bluetooth USB-колонка Mivo -M45 ( Bluetooth, аккумулятор) TWS, шт;;;;;1,000;5 500,00;8 500,00
Bluetooth USB-колонка Mivo -MD102 ( Bluetooth, аккумулятор) микрофон, шт;;;;;2,000;30 800,00;46 600,00
Bluetooth адаптер для магнитол  Mivo MF-04, шт;;;;;1,000;360,00;650,00
